,difficulty,gaslimit,rate,gasprice,confirmtime
173,2.70068,90000,116.79,38,8
174,2.70068,166666,114.29,50,8
175,2.70068,60000,116.35,1.6,8
176,2.70068,80036,119.28,40,8
177,2.70068,21000,95.24,5,8
178,2.70068,90000,79.37,6,8
179,2.70068,25200,136.05,7,8
180,2.70068,21000,114.29,50,10
181,2.70068,250000,84.77,4,10
182,2.70068,400000,117.81,14,10
183,2.70068,21000,119.05,20,10
184,2.70068,25200,136.05,7,10
185,2.70068,130000,142.15,6.7,12
186,2.70068,22000,123.46,27,12
187,2.70068,1000000,145.43,3,12
188,2.70068,21000,95.24,5,12
189,2.70068,21000,119.05,20,12
190,2.70068,21000,136.05,7,14
191,2.70068,60000,136.05,7,14
192,2.70068,120000,136.71,10,14
193,2.70068,60000,114.92,1.87,14
194,2.70068,21000,95.24,10,16
195,2.70068,400000,114.91,14,16
196,2.70068,36668,129.87,4.2,16
197,2.70068,135963,86.17,2.55,18
198,2.70068,250000,99.21,1.7,18
199,2.70068,58300,95.24,10,18
200,2.70068,21000,95.24,10,21
201,2.70068,259519,115.6,2,21
202,2.70068,38018,116.32,1.92,21
203,2.70068,38301,112.1,16,21
204,2.70068,182000,137.14,4,23
205,2.70068,21000,119.05,12,23
206,2.70068,90000,115.52,3,23
207,2.70068,50000,95.24,5,23
208,2.70068,1600000,127.87,3,23
209,2.70068,300000,125.47,3,23
210,2.70068,42000,105.42,4.5,23
211,2.70068,21000,119.05,20,23
212,2.70068,1600000,127.87,3,23
213,2.70068,166666,114.29,50,23
214,2.70068,52204,127.7,3,25
215,2.70068,2100000,115.62,9,25
216,2.70068,1600000,127.87,3,27
217,2.70068,1000000,88.64,3,27
218,2.70068,60000,116.39,1.6,27
219,2.70068,1600000,127.87,3,29
220,2.70068,1600000,127.87,3,29
221,2.70068,50000,95.24,5,29
222,2.70068,126061,111.99,4,31
223,2.70068,21000,119.05,20,31
224,2.70068,50000,95.24,5,31
225,2.70068,115000,108.44,8,31
226,2.70068,21000,126.98,15,33
227,2.70068,200000,119.8,8,33
228,2.70068,50000,95.24,5,33
229,2.70068,166666,114.29,50,35
230,2.70068,50000,95.24,5,35
231,2.70068,21000,119.05,8,35
232,2.70068,55000,108.11,10,37
233,2.70068,70000,119.13,20,37
234,2.70068,21000,95.24,10,37
235,2.70068,60000,115.89,10,37
236,2.70068,237108,117.86,3,37
237,2.70068,21000,95.24,10,37
238,2.70068,113947,86.88,1.8,37
239,2.70068,21000,126.98,15,37
240,2.70068,50000,95.24,5,40
241,2.70068,52967,125.86,3,42
242,2.70068,50000,95.24,5,42
243,2.70068,21000,116.29,3,46
244,2.70068,50000,95.24,5,48
245,2.70068,60000,115.81,3,48
246,2.70068,65000,123.51,8.352,48
247,2.69991,21000,119.05,16,0
248,2.69991,52396,89.14,3,0
249,2.69991,1000000,116.53,10,2
250,2.69991,200000,112.31,6,4
251,2.69991,90000,118.47,29,4
252,2.69991,42000,105.42,4.5,4
253,2.69991,35000,120.29,8.05,4
254,2.69991,21000,136.05,7,4
255,2.69991,454378,121.04,3,4
256,2.69991,104354,105.13,7,4
257,2.69991,21000,119.05,16,6
258,2.69991,60000,117.07,7,6
259,2.69991,60000,116.88,6.7,6
260,2.69991,55000,116.23,1.545,6
261,2.69991,72000,105.02,7.389,6
262,2.69991,100000,121.73,7,8
263,2.69991,90000,114.94,29,8
264,2.69991,60000,115.33,1.6,8
265,2.69991,60000,119.55,6.7,8
266,2.69991,21000,124.22,23,12
267,2.69991,60000,115.27,1.6,12
268,2.69991,52207,119.45,9,12
269,2.69991,60000,142.15,6.7,12
270,2.69991,150000,107.11,10,12
271,2.69991,25200,136.05,7,12
272,2.69991,21000,134.58,10.615,14
273,2.69991,21000,136.05,7,16
274,2.69991,21000,95.24,10,16
275,2.69991,126061,122,4,18
276,2.69991,180000,114.41,38.567,20
277,2.69991,150000,114.29,50,20
278,2.69991,150000,114.29,50,20
279,2.69991,120000,108.44,8,20
280,2.69991,70000,118.93,20,23
281,2.69991,70000,118.93,20,23
282,2.69991,125815,79.61,3,23
283,2.69991,600000,118.8,7,23
284,2.69991,70000,119.13,20,23
285,2.69991,159482,116.01,56.7,28
286,2.69991,159141,116.91,56.7,28
287,2.69914,1000000,113.84,3,0
288,2.69914,52016,128.17,3,3
289,2.69914,75868,117.16,36,5
290,2.69914,75868,117.16,36,5
291,2.69914,75868,117.16,36,5
292,2.69914,75868,117.16,36,5
293,2.69914,75868,117.16,36,5
294,2.69914,75868,117.16,36,5
295,2.69914,75868,117.16,36,5
296,2.69914,75868,117.16,36,5
297,2.69914,105868,115.45,36,5
298,2.69914,75868,117.16,36,5
299,2.69914,220836,116.96,40,9
300,2.69914,200000,104.53,7,9
