,gaspricel1,difficulty,gaslimit,rate,confirmtime,transaction_count,size,reward,gasprice
94,2,2.70E+15,200000,103.57,7,37,21090,3.03,1.6
95,1.6,2.70E+15,7200026,115.7,125,1,18944,3.02,2
96,2,2.71E+15,100000,115.86,4,1,14854,3.05,3
97,3,2.71E+15,500000,114.46,41,2,4626,3.02,1.6
98,1.6,2.71E+15,113532,82.58,10,12,9954,3.02,1.5
99,1.5,2.71E+15,50000,95.24,14,87,25710,3.09,2
100,2,2.71E+15,70000,118.93,10,77,14479,3.04,1.5
101,1.5,2.71E+15,50000,115.67,19,101,34750,3.07,1
102,1,2.71E+15,21000,111.11,12,133,32239,3.16,7
103,7,2.70E+15,1600000,127.87,18,90,23343,3.14,1.6
104,1.6,2.70E+15,4300000,94.89,6,34,16513,3.12,1.51
105,1.51,2.70E+15,90000,113.45,44,75,29356,3.15,3
106,3,2.70E+15,500000,114.44,11,56,18236,3.03,1.5
107,1.5,2.70E+15,65000,127.39,19,2,18394,3.05,8.1
108,8.1,2.70E+15,30400,116.31,2,32,8268,3.03,1.6
109,1.6,2.70E+15,233504,92.14,15,57,19577,3.07,1
110,1,2.70E+15,150000,114.29,6,33,6967,3.03,4
111,4,2.70E+15,70000,119.13,4,40,7114,3.04,2.4
112,2.4,2.71E+15,30400,116.31,16,39,12348,3.03,1
113,1,2.70E+15,74840,111.51,23,103,27074,3.1,1.6
114,1.6,2.70E+15,100000,103.69,71,17,6561,3.03,2
115,2,2.70E+15,30400,116.33,26,21,19828,3.05,2
116,2,2.70E+15,1373262,115.66,96,12,10061,3.03,1.5
117,1.5,2.70E+15,50000,116.43,56,68,10977,3.01,1
118,1,2.70E+15,60000,106.6,1,53,20879,3.06,2
119,2,2.71E+15,77380,116.12,12,4,5953,3.01,1.7
120,1.7,2.70E+15,100000,105.08,12,79,28639,3.09,1.6
121,1.6,2.71E+15,1000000,116.53,4,48,10117,3.1,2
122,2,2.71E+15,50000,95.24,5,53,15973,3.1,1.6
123,1.6,2.71E+15,139103,115.86,9,9,23887,3.02,1.51
124,1.51,2.71E+15,50000,95.24,24,51,10533,3.06,2
