,gaspricel1,difficulty,gaslimit,rate,confirmtime,transaction_count,size,reward,gasprice
411,5,2.77E+15,74539,100.62,44,17,21938,3.04,2
412,2,2.77E+15,70000,119.33,15,20,7810,3.06,20
413,20,2.77E+15,21000,126.98,17,20,27090,3.2,4
414,4,2.76E+15,60000,115.01,52,52,32753,3.12,3
415,3,2.76E+15,70000,118.93,6,53,31143,3.2,10
416,10,2.75E+15,55000,108.19,3,1,885,3,41
417,41,2.76E+15,21000,108.23,9,41,36355,3.07,3
418,3,2.76E+15,92599,107.99,8,56,26076,3.06,2
419,2,2.76E+15,21000,111.11,12,5,11599,3.05,30
420,30,2.76E+15,21000,116.12,96,17,21178,3.03,2
421,2,2.76E+15,1000000,104.33,181,3,22720,3.07,2
422,2,2.76E+15,80000,115.55,204,17,35744,3.04,1
423,1,2.76E+15,1610776,117.71,338,1,22828,3.06,1.7
424,1.7,2.76E+15,441305,111.81,227,2,22038,3.04,1.5
425,1.5,2.76E+15,235603,94.96,234,2,8541,3.02,1.5
426,1.5,2.76E+15,70000,119.13,4,52,28846,3.07,1.47
427,1.47,2.76E+15,21000,111.11,19,43,20760,3.07,3
428,3,2.76E+15,500000,122.07,10,4,14045,3.02,1.5
429,1.5,2.76E+15,100000,116.22,7609,1,6141,3.02,1.1
430,1.1,2.77E+15,21000,119.05,21,12,30517,3.06,1.6
431,1.6,2.77E+15,21000,111.11,29,23,17493,3.05,1.1
432,1.1,2.77E+15,250000,120.93,14,42,31978,3.12,2.8
433,2.8,2.76E+15,45000,90.7,111,9,36746,3.15,5.25
434,5.25,2.76E+15,45000,90.7,70,54,35430,3.07,5
435,5,2.76E+15,45000,90.7,38,23,41370,3.17,5.25
436,5.25,2.76E+15,250000,115.55,52,1,28644,3.07,4
437,4,2.76E+15,21000,116.21,161,2,38322,3.03,2
438,2,2.76E+15,90000,116.07,163,3,22871,3.03,2
439,2,2.77E+15,1392811,113.53,166,2,19847,3.03,1.6
440,1.6,2.77E+15,109099,116.02,175,1,24268,3.06,1.5
441,1.5,2.76E+15,45000,90.7,29,30,37807,3.12,3
442,3,2.77E+15,45000,90.7,36,28,21618,3.03,1.1
443,1.1,2.76E+15,55000,106.33,12,33,34564,3.1,3
444,3,2.76E+15,50000,95.24,3,55,33044,3.14,5
445,5,2.76E+15,100000,103.64,17,10,17233,3.02,1.5
446,1.5,2.76E+15,50000,95.24,23,37,30011,3.13,3
447,3,2.77E+15,1600000,127.87,28,11,8848,3.02,1.5
448,1.5,2.77E+15,300000,95.24,10,48,27288,3.08,1.4
449,1.4,2.77E+15,1000000,112.4,19,4,15908,3.03,1
450,1,2.77E+15,1600000,113.38,11,51,18771,3.05,1.89
451,1.89,2.77E+15,90000,106.13,5,37,11149,3.03,1.5
452,1.5,2.77E+15,90000,106.13,1,33,8909,3.03,5
453,5,2.77E+15,50000,116.05,12,50,12034,3.02,1
454,1,2.77E+15,1000000,111.84,5,15,10913,3.02,1.401
455,1.401,2.77E+15,90000,117.13,23,39,30404,3.12,5
456,5,2.77E+15,50000,115.86,29,13,14869,3.03,1.047
457,1.047,2.77E+15,21000,111.11,17,121,37223,3.13,2
458,2,2.77E+15,1000000,117.03,11,30,14206,3.03,1.4
459,1.4,2.77E+15,70000,118.93,5,67,27898,3.11,2
460,2,2.77E+15,21000,113.38,8,57,21820,3.05,1.4
461,1.4,2.77E+15,21000,112.5,34,19,42570,3.31,38.095
462,38.095,2.77E+15,1000000,122.42,9,44,36497,3.17,5.4
463,5.4,2.77E+15,1600000,127.87,25,39,23556,3.15,1.4
464,1.4,2.77E+15,1000000,116.32,58,51,35398,3.08,1.4
465,1.4,2.77E+15,1000000,108.82,8,30,32752,3.22,30
466,30,2.77E+15,1000000,116.29,5,16,8745,3.25,30
467,30,2.77E+15,126061,116.95,28,1,6634,3.24,30
468,30,2.77E+15,50000,116.33,1,15,11413,3.2,1
469,1,2.77E+15,1000000,115.67,59,19,11654,3.25,30
470,30,2.77E+15,21000,116.14,22,8,11044,3.26,33.333
471,33.333,2.77E+15,1000000,115.76,133,11,5700,3.23,30
472,30,2.77E+15,21000,111.11,69,22,10952,3.25,30
473,30,2.77E+15,1000000,115.53,149,5,9637,3.24,30
474,30,2.77E+15,90000,115.81,109,5,10952,3.25,29
475,29,2.77E+15,1000000,115.67,194,8,5584,3.21,30
476,30,2.77E+15,1000000,115.67,223,37,17286,3.19,1
477,1,2.77E+15,21000,111.11,3,7,15012,3.23,30
478,30,2.78E+15,50000,95.24,1,23,15104,3.21,10
479,10,2.78E+15,21000,111.11,1,20,13864,3.21,15.062
480,15.062,2.78E+15,21000,119.05,273,17,31996,3.15,10
481,10,2.77E+15,21000,129.87,246,12,25764,3.15,10
482,10,2.78E+15,300000,95.24,69,9,30511,3.09,8
483,8,2.78E+15,600000,118.1,301,14,21858,3.08,5
484,5,2.78E+15,1000000,112.2,357,6,31858,3.12,5
485,5,2.78E+15,21000,119.05,16,33,26553,3.17,3
486,3,2.78E+15,50000,95.24,41,12,29047,3.2,3
487,3,2.78E+15,1000000,115.67,395,1,14665,3.09,5
488,5,2.78E+15,21000,119.05,1,93,35433,3.14,4
489,4,2.78E+15,21000,108.84,23,1,13352,3.14,35
490,35,2.77E+15,400000,111.87,74,2,32537,3.16,14
491,14,2.77E+15,1000000,115.6,25,55,30783,3.12,4
492,4,2.77E+15,250000,109.63,34,57,28072,3.1,3
493,3,2.77E+15,1600000,127.87,504,16,20419,3.05,2.4
494,2.4,2.77E+15,50000,115.52,150,35,36827,3.04,1
495,1,2.77E+15,21000,111.11,47,2,12321,3.12,20
496,20,2.76E+15,80000,103.64,54,87,37812,3.13,5.1
497,5.1,2.76E+15,21000,111.11,68,66,23538,3.13,5
498,5,2.76E+15,168000,95.24,18,28,18505,3.06,4.48
499,4.48,2.76E+15,1000000,84.7,21,61,34228,3.18,2.1
500,2.1,2.76E+15,21000,109.89,3,35,20273,3.14,2
501,2,2.77E+15,70000,98.71,26,68,29231,3.1,2
502,2,2.77E+15,350317,118.94,30,37,20447,3.05,1
503,1,2.77E+15,21000,111.11,36,5,29640,3.08,2
504,2,2.77E+15,3000000,100.61,894,2,20648,3.08,2
505,2,2.77E+15,77706,128.69,88,6,11174,3.03,2
506,2,2.77E+15,21000,115.68,550,6,7063,3.02,1.5
507,1.5,2.77E+15,21000,116.32,134,3,23096,3.03,1.5
508,1.5,2.76E+15,21000,95.24,33,62,28025,3.22,10
509,10,2.76E+15,60000,79.37,71,13,36409,3.13,5.3
510,5.3,2.75E+15,21000,89.85,47,17,29489,3.06,5
511,5,2.75E+15,52332,95.54,24,12,22839,3.03,2
512,2,2.76E+15,1000000,116.23,27,14,26555,3.13,1
513,1,2.76E+15,133000,102.47,1149,4,27644,3.08,1.4
514,1.4,2.76E+15,336565,122.9,1350,2,14279,3.13,1.4
515,1.4,2.75E+15,70000,118.93,12,40,23974,3.09,2.1
516,2.1,2.75E+15,21000,111.11,33,3,22105,3.09,30
517,30,2.75E+15,4000000,110.15,37,1,17675,3.02,7
518,7,2.75E+15,75468,115.88,1115,1,14021,3.03,1.4
519,1.4,2.74E+15,112476,107.78,38,30,32562,3.15,3
520,3,2.75E+15,21000,111.11,52,11,23996,3.17,2.4
521,2.4,2.74E+15,70000,119.13,36,24,25125,3.12,3
522,3,2.74E+15,55000,114.03,5,42,25474,3.08,2.24
523,2.24,2.74E+15,21000,126.98,21,33,30273,3.15,3
524,3,2.74E+15,21000,111.11,83,30,13582,3.08,20
525,20,2.74E+15,21000,105.82,2,30,23993,3.16,2.464
526,2.464,2.74E+15,1000000,116.6,87,29,24104,3.02,1
527,1,2.74E+15,168000,115.71,4,40,22425,3.07,2
528,2,2.74E+15,211396,114.02,1,8,5781,3.01,2.24
529,2.24,2.75E+15,250000,116.12,32,14,20669,3.02,1.32
530,1.32,2.75E+15,21000,111.11,9,44,25746,3.06,2
531,2,2.76E+15,6720000,110.66,8,1,25884,3.09,20
532,20,2.75E+15,100000,116.11,28,1,11243,3.03,1.5
533,1.5,2.75E+15,52733,116.35,8,54,24476,3.1,1.4
534,1.4,2.76E+15,55000,108.11,10,15,14812,3.05,2
535,2,2.76E+15,119977,125.02,805,1,17670,3.02,5
536,5,2.76E+15,50000,115.67,18,37,33195,3.11,1
537,1,2.75E+15,25200,119.05,11,29,24853,3.1,2.4
538,2.4,2.75E+15,21000,111.11,38,19,35452,3.12,2
539,2,2.75E+15,250000,107.99,10,30,27045,3.08,2
540,2,2.74E+15,21000,109.89,23,106,37227,3.16,10
541,10,2.74E+15,106000,108.44,45,38,25879,3.07,2
542,2,2.74E+15,37136,116.24,79,78,26046,3.14,1.6
543,1.6,2.75E+15,1455044,111.83,57,4,10853,3.02,1.5
544,1.5,2.75E+15,82740,108.55,10,54,27273,3.06,1.4
545,1.4,2.75E+15,120000,119.9,14,72,20934,3.09,1.5
546,1.5,2.75E+15,236820,94.42,14,26,20613,3.06,1.5
547,1.5,2.75E+15,21000,111.11,8,53,21958,3.08,1.5
548,1.5,2.75E+15,58300,114.29,30,60,24532,3.1,2.1
549,2.1,2.75E+15,51466,116.38,29,73,29894,3.16,1.5
550,1.5,2.75E+15,293691,102.15,56,12,18172,3.04,1.5
551,1.5,2.75E+15,539724,101.76,46,2,16100,3.05,1.5
552,1.5,2.75E+15,37136,115.83,10,58,32365,3.12,2
553,2,2.74E+15,80000,104.65,54,82,27604,3.12,1.5
554,1.5,2.73E+15,21000,111.11,70,125,34226,3.15,4.8
555,4.8,2.73E+15,21000,111.11,23,35,25193,3.08,3
556,3,2.73E+15,42000,115.66,78,63,31432,3.03,1
557,1,2.73E+15,21000,119.05,4,66,33312,3.17,3.812
558,3.812,2.73E+15,37136,116.26,13,32,26188,3.12,1.5
559,1.5,2.73E+15,400000,119.53,4,34,30804,3.11,3
560,3,2.73E+15,1000000,102.41,146,29,13202,3.03,1.5
561,1.5,2.72E+15,21000,102.04,11,87,36125,3.14,2.5
562,2.5,2.73E+15,36913,116.35,31,9,28435,3.04,1.5
563,1.5,2.73E+15,70000,119.13,7,46,32243,3.13,2
564,2,2.73E+15,430000,116.29,136,14,14152,3.02,1.5
565,1.5,2.72E+15,53000,116.38,86,5,28552,3.09,1.5
566,1.5,2.72E+15,420000,122.45,2,15,32031,3.08,3
567,3,2.72E+15,90000,115.65,34,39,27048,3.07,2
568,2,2.72E+15,60000,115.54,194,8,18634,3.04,1.5
569,1.5,2.72E+15,150000,115.87,8,19,32187,3.13,2
570,2,2.73E+15,5500000,119.13,21,3,9733,3.03,2.75
571,2.75,2.73E+15,120000,107.43,12,26,19918,3.05,1.5
572,1.5,2.72E+15,42000,119.05,22,45,35113,3.13,3
573,3,2.72E+15,74748,113.72,2,64,32972,3.13,2
574,2,2.72E+15,4000000,104.22,97,1,38118,3.14,16
575,16,2.72E+15,456305,123.06,181,4,18940,3.02,1.5
576,1.5,2.72E+15,241389,131.02,20,27,30917,3.05,1.5
577,1.5,2.72E+15,90000,114.94,24,8,13417,3.05,1.5
578,1.5,2.72E+15,21000,111.11,8,56,24323,3.1,3
579,3,2.72E+15,430000,115.9,626,42,27110,3.02,1.5
580,1.5,2.72E+15,129082,117.95,2,33,14129,3.04,3
581,3,2.72E+15,5500000,104.24,2,9,3309,3,2
582,2,2.73E+15,777529,120.04,22,11,29645,3.05,1.5
583,1.5,2.73E+15,430000,116.34,655,29,16145,3.02,1.5
584,1.5,2.73E+15,50000,116.29,186,19,6710,3.01,1
585,1,2.74E+15,6000000,115.42,2727,1,7241,3.03,1.5
586,1.5,2.73E+15,95822,116.36,29,67,30969,3.09,2
587,2,2.73E+15,21000,102.04,45,48,37691,3.19,5.3
588,5.3,2.72E+15,4000000,111.17,125,52,26821,3.1,3
589,3,2.73E+15,93382,105.81,27,35,19994,3.03,2
590,2,2.73E+15,50000,115.86,17,61,25141,3.03,1
591,1,2.73E+15,1000000,117.94,13,34,11671,3.03,2
592,2,2.73E+15,21000,111.11,14,62,17302,3.05,1.4
593,1.4,2.73E+15,60000,116.96,5,32,15541,3.05,3
594,3,2.73E+15,155094,105.16,13,9,8885,3.02,1.5
595,1.5,2.73E+15,21000,111.11,5,13,7543,3.06,29
596,29,2.73E+15,60000,86.46,66,85,34371,3.06,2.1
597,2.1,2.73E+15,21000,111.11,5,49,27366,3.08,2
598,2,2.73E+15,1000000,104.33,85,28,17557,3.04,1.65
599,1.65,2.73E+15,21000,119.05,20,31,33741,3.08,2
600,2,2.73E+15,50000,95.24,10,9,29435,3.07,1.8
601,1.8,2.72E+15,124735,120.25,38,24,19779,3.03,1.5
602,1.5,2.73E+15,5500000,127.35,136,1,7286,3.12,3.5
603,3.5,2.73E+15,50000,116.33,59,25,23521,3.02,1
604,1,2.73E+15,21000,115.76,2880,1,26428,3.07,1
605,1,2.74E+15,305830,118.18,1,6,14654,3.03,2.4
606,2.4,2.74E+15,68149,111.34,8,4,29348,3.08,2.4
607,2.4,2.74E+15,80000,148.05,36,3,6553,3.03,1.05
608,1.05,2.74E+15,21000,105.82,2,28,9666,3.04,1.5
609,1.5,2.74E+15,471305,111.81,4,19,15790,3.02,1.6
610,1.6,2.74E+15,40000,108.23,9,56,30782,3.08,2
611,2,2.74E+15,53000,115.74,24,23,13796,3.04,2
612,2,2.74E+15,60000,108.8,75,1,21921,3.05,1.65
613,1.65,2.74E+15,100000,109.36,2,37,12439,3.02,2
614,2,2.74E+15,90000,116.29,128,32,16995,3.04,1
615,1,2.74E+15,93478,105.67,7,28,18536,3.07,1.5
616,1.5,2.74E+15,90000,119.61,1,24,17088,3.05,1.5
617,1.5,2.73E+15,21000,115.64,50,80,26280,3.02,1
618,1,2.73E+15,235000,112.17,58,104,32417,3.07,2.24
619,2.24,2.73E+15,70000,119.13,21,132,28683,3.11,2
620,2,2.73E+15,60000,115.48,86,52,19386,3.02,1.6
621,1.6,2.73E+15,52472,121.28,2,25,8180,3.03,11
622,11,2.72E+15,21000,111.11,50,91,34091,3.23,20
623,20,2.72E+15,50000,95.24,29,91,36753,3.09,6
624,6,2.72E+15,21000,95.24,22,41,30722,3.15,2
625,2,2.72E+15,279319,101.73,165,44,35123,3.02,1.585
626,1.585,2.72E+15,21000,129.87,19,86,28476,3.11,2
627,2,2.72E+15,21000,111.11,11,6,3245,3.01,30
628,30,2.73E+15,90000,115.82,134,11,29464,3.13,1.5
629,1.5,2.73E+15,70000,120.8,2,29,15116,3.03,1.5
630,1.5,2.73E+15,21000,111.11,7,20,13528,3.03,1.5
631,1.5,2.73E+15,21000,95.24,16,108,27556,3.07,1.5
632,1.5,2.73E+15,2000000,115.35,2,47,25739,3.03,1
633,1,2.73E+15,21000,115.69,3,107,29799,3.11,2
634,2,2.73E+15,21000,116.37,8,92,31516,3.13,1.6
635,1.6,2.73E+15,21000,95.24,4,42,14575,3.04,1.5
636,1.5,2.73E+15,50000,95.24,10,92,32521,3.11,2
637,2,2.74E+15,100000,92.14,2,19,8414,3.02,1.5
638,1.5,2.74E+15,21000,111.11,4,41,19025,3.05,1
639,1,2.74E+15,21000,111.11,4,11,7457,3.03,1.5
640,1.5,2.73E+15,200000,115.79,4,110,35525,3.12,2
641,2,2.73E+15,105156,114.12,68,120,33028,3.1,2
642,2,2.72E+15,70000,119.13,19,98,24107,3.11,1.5
643,1.5,2.73E+15,100000,103.82,73,14,12444,3.02,1.3
644,1.3,2.73E+15,600000,115.21,131,23,9057,3.02,1.044
645,1.044,2.73E+15,45537,114.57,14,43,25562,3.06,1
646,1,2.73E+15,1000000,118.67,29,4,5558,3.02,1.5
647,1.5,2.73E+15,100000,92.14,11,20,25884,3.07,2
648,2,2.73E+15,218037,132.86,67,14,13090,3.02,1.5
649,1.5,2.73E+15,21000,95.24,1,34,13570,3.03,1.3
650,1.3,2.73E+15,60000,115.89,9,14,17936,3.06,3
651,3,2.73E+15,121866,84.51,13,3,9766,3.02,1.5
652,1.5,2.73E+15,21000,111.11,4,121,28377,3.2,10
653,10,2.73E+15,21000,136.05,13,60,24537,3.04,2
654,2,2.73E+15,60000,114.29,10,84,21602,3.11,2
655,2,2.73E+15,100000,115.87,6,61,22644,3.04,1.5
656,1.5,2.73E+15,100000,92.14,34,89,28899,3.12,2
657,2,2.73E+15,185612,121.57,81,38,19761,3.03,1.012
658,1.012,2.73E+15,1600000,127.87,6,70,29943,3.09,1.3
659,1.3,2.73E+15,200000,120.23,22,47,31920,3.05,1
660,1,2.73E+15,200000,113.82,3,46,20619,3.06,1.4
661,1.4,2.73E+15,50000,116.24,8,12,8346,3.02,1
662,1,2.74E+15,21000,119.05,9,110,29138,3.11,2
663,2,2.74E+15,722079,117.06,5,18,22745,3.08,4
664,4,2.74E+15,90000,116.09,35,18,23319,3.06,1.401
665,1.401,2.74E+15,21000,136.05,1,38,6492,3.02,3
666,3,2.74E+15,94552,116.25,2,19,24528,3.07,1.4
667,1.4,2.74E+15,21000,116.14,2,120,27328,3.08,2
668,2,2.74E+15,237825,106.48,34,5,41604,3.04,1.4
669,1.4,2.74E+15,21000,111.11,22,14,25311,3.1,10
670,10,2.74E+15,401556,106.6,70,2,28603,3.11,1.4
671,1.4,2.74E+15,21000,95.24,14,107,29978,3.06,2
672,2,2.74E+15,21000,115.69,13,45,19123,3.04,1.1
673,1.1,2.73E+15,100000,92.41,3,109,29771,3.12,3
674,3,2.72E+15,210000,123.65,25,107,35548,3.08,1
675,1,2.73E+15,36000,120.13,3,66,28474,3.06,2
676,2,2.73E+15,21000,105.82,3,53,36964,3.12,2
677,2,2.72E+15,72471,137.99,174,37,20571,3.03,2
678,2,2.73E+15,36913,115.66,41,37,30009,3.03,2
679,2,2.73E+15,21000,119.05,15,26,29370,3.07,1.5
680,1.5,2.73E+15,100000,94.55,11,33,17076,3.02,1.1
681,1.1,2.73E+15,21000,129.87,5,52,24069,3.06,1.4
682,1.4,2.73E+15,21000,116.24,1169,3,31234,3.07,1
683,1,2.73E+15,4000000,115.66,18,83,27761,3.08,1.4
684,1.4,2.73E+15,250000,108.87,10,44,29189,3.07,1.8
685,1.8,2.73E+15,100000,115.9,5,18,10689,3.03,1.8
686,1.8,2.74E+15,50000,129.87,2,36,10060,3.04,1
687,1,2.74E+15,89354,120.87,7,27,27085,3.06,2
688,2,2.74E+15,50000,116.24,48,34,15662,3.03,1
689,1,2.74E+15,50000,95.24,21,16,25607,3.1,10
690,10,2.74E+15,21000,115.43,171,2,11969,3.04,1
691,1,2.74E+15,100000,116.22,7,35,16514,3.04,1.4
692,1.4,2.74E+15,110000,115.67,1,88,24701,3.09,2
693,2,2.74E+15,21000,95.24,1,46,17988,3.07,2
694,2,2.74E+15,105000,114.9,3,8,20101,3.07,10
695,10,2.74E+15,90769,116.32,41,14,10318,3.02,1.4
696,1.4,2.74E+15,500000,130.76,46,1,25960,3.16,1.4
697,1.4,2.75E+15,4000000,114.29,7,12,14606,3.02,1.4
698,1.4,2.75E+15,100000,115.49,36,1,16816,3.08,1.3
699,1.3,2.75E+15,150000,115.79,8,15,33622,3.14,10
700,10,2.74E+15,74340,112.76,49,99,35939,3.12,2
701,2,2.74E+15,21000,111.11,61,61,29863,3.07,2
702,2,2.74E+15,60000,105.08,149,6,27859,3.08,1.93
703,1.93,2.74E+15,86374,115.78,3,44,27079,3.09,2
704,2,2.74E+15,21000,111.11,70,40,32696,3.07,2
705,2,2.74E+15,350317,128.85,6,7,4276,3.01,2
706,2,2.75E+15,50000,116.38,37,47,28970,3.02,1
707,1,2.75E+15,21000,111.11,2,9,21034,3.07,3
708,3,2.75E+15,336373,114.79,22,1,6315,3.02,2
709,2,2.75E+15,1279021,113.12,151,7,11569,3.02,1.4
710,1.4,2.75E+15,60000,113.81,20,60,26448,3.08,2
711,2,2.76E+15,21000,111.11,27,13,20113,3.05,1.003
712,1.003,2.75E+15,335000,87.91,17,85,23139,3.07,1.3
713,1.3,2.76E+15,21000,111.11,6,12,5393,3.03,1.5
714,1.5,2.76E+15,6500000,116.33,6698,1,7912,3.12,1.45
715,1.45,2.76E+15,250000,109.9,16,7,11349,3.01,2
716,2,2.76E+15,218037,142.35,25,26,22583,3.03,1.4
717,1.4,2.76E+15,21000,119.05,7,45,23283,3.09,1.4
718,1.4,2.76E+15,21000,111.11,1,6,1443,3.01,20
719,20,2.76E+15,468936,121.68,43,31,12935,3.03,1.3
720,1.3,2.76E+15,60000,115.98,3,11,9107,3.03,2
721,2,2.76E+15,21000,111.11,8,18,13665,3.03,1
722,1,2.76E+15,21000,126.98,13,26,25952,3.08,2
723,2,2.76E+15,210000,114.79,38,84,44142,3.1,2
724,2,2.75E+15,21000,105.82,45,91,33582,3.12,2
725,2,2.75E+15,21000,111.11,113,54,22795,3.08,2
726,2,2.75E+15,21000,111.11,98,44,16500,3.07,14
727,14,2.76E+15,930128,118.26,116,16,27611,3.03,2
728,2,2.75E+15,50000,115.81,216,35,25307,3.02,1
729,1,2.75E+15,150000,95.24,18,39,16064,3.04,1.3
730,1.3,2.75E+15,237108,106.08,11,52,18515,3.06,1.5
731,1.5,2.75E+15,6720000,120.56,1,82,22503,3.06,1.3
732,1.3,2.75E+15,70000,106.16,13,36,21087,3.05,1.3
733,1.3,2.75E+15,100000,100.43,1,18,3068,3.01,2
734,2,2.75E+15,100000,116.1,52,26,26098,3.02,1
735,1,2.75E+15,21000,119.05,32,36,35670,3.24,2
736,2,2.75E+15,90000,112.35,1,22,18557,3.02,1.1
737,1.1,2.76E+15,50000,95.24,2,36,18370,3.03,1.3
738,1.3,2.76E+15,4000000,114.29,15,41,25063,3.08,1.3
739,1.3,2.76E+15,35000,112.27,37,120,24324,3.16,1.3
740,1.3,2.76E+15,100000,103.64,22,21,6282,3.11,1.3
741,1.3,2.76E+15,250000,148.67,18,98,25860,3.1,2
742,2,2.76E+15,50000,116.38,52,128,41602,3.09,1
743,1,2.76E+15,50000,116.24,1251,29,5360,3.01,1
744,1,2.76E+15,100000,91.87,46,66,27374,3.08,3
745,3,2.76E+15,218037,153.3,95,48,19877,3.13,1.3
746,1.3,2.76E+15,21000,119.05,2,33,20456,3.04,2
747,2,2.76E+15,53538,115.5,36,26,14903,3.02,1.3
748,1.3,2.77E+15,55000,108.11,6,49,31467,3.1,2
749,2,2.77E+15,50000,116.38,78,56,20361,3.02,1
750,1,2.77E+15,679500,129.54,1,38,10178,3.06,1.3
751,1.3,2.77E+15,4180000,111.56,15,8,28922,3.17,2
752,2,2.77E+15,250000,126.22,3,38,12082,3.03,1
753,1,2.77E+15,233833,99.93,31,2,5411,3.01,1.3
754,1.3,2.77E+15,77367,115.89,6,10,12139,3.01,1.4
755,1.4,2.78E+15,90000,114.94,4,7,7645,3.03,1.3
756,1.3,2.78E+15,90000,116.23,27,2,16195,3.02,1.3
757,1.3,2.79E+15,250000,116.33,38,20,18826,3.04,1.3
758,1.3,2.78E+15,1133359,115.85,17,80,36830,3.14,3
759,3,2.78E+15,115978,80.23,4,64,24632,3.05,1.93
760,1.93,2.78E+15,90000,116.08,89,49,22754,3.15,1.3
761,1.3,2.78E+15,70000,119.13,14,52,32572,3.09,1.352
762,1.352,2.78E+15,150000,115.87,3,15,5957,3.05,20
763,20,2.78E+15,50000,115.89,30,23,41684,3.05,2.4
764,2.4,2.79E+15,60000,85.73,9,5,6021,3.02,2.37
765,2.37,2.79E+15,50000,115.86,19,16,13079,3.01,1
766,1,2.79E+15,70000,119.13,4,39,24688,3.04,2
767,2,2.79E+15,50000,116.33,23,41,29802,3.07,1
768,1,2.79E+15,50000,95.24,49,55,33430,3.09,2
769,2,2.79E+15,100000,95.24,4,50,29086,3.1,2
770,2,2.79E+15,400000,112.72,6,26,12838,3.05,3
771,3,2.79E+15,81506,122.69,10,4,14053,3.03,2
772,2,2.79E+15,65000,124.52,2,90,34233,3.12,3
773,3,2.78E+15,1500000,116.33,70,53,23714,3.1,3
774,3,2.78E+15,21000,79.37,26,55,29391,3.05,2
775,2,2.78E+15,60000,105.08,145,45,17863,3.05,1.6
776,1.6,2.77E+15,420000,117.99,83,99,29431,3.2,6
777,6,2.77E+15,21000,116.14,53,137,39960,3.06,1
778,1,2.77E+15,22000,119.05,1,61,28003,3.15,1
779,1,2.77E+15,119000,115.67,21,92,25844,3.08,2
780,2,2.77E+15,21000,95.24,1,47,20153,3.04,1.4
781,1.4,2.76E+15,21000,119.05,7,147,33710,3.15,2
782,2,2.76E+15,78201,95.91,43,50,24191,3.05,1.3
783,1.3,2.76E+15,72471,137.99,21,92,27188,3.09,2
784,2,2.76E+15,60000,112.39,8,64,18017,3.06,1.3
785,1.3,2.76E+15,77206,116.27,662,20,35034,3.05,1.3
786,1.3,2.76E+15,198006,138.69,5,22,13662,3.03,1.3
787,1.3,2.77E+15,25034,116.22,8,35,14645,3.05,1.3
788,1.3,2.76E+15,21000,115.69,18,39,18344,3.07,1.3
789,1.3,2.77E+15,21000,111.11,23,5,9045,3.04,1.3
790,1.3,2.77E+15,21000,109.89,1,27,9752,3.03,1.3
791,1.3,2.77E+15,197352,115.52,21,73,28855,3.06,1.3
792,1.3,2.77E+15,70000,105.45,8,4,2660,3.02,1.3
793,1.3,2.76E+15,21000,95.24,30,154,33718,3.1,2
794,2,2.76E+15,60000,106.78,9,23,14460,3.07,4
795,4,2.77E+15,42000,116.74,12,43,28231,3.08,2
796,2,2.76E+15,50000,116.24,83,46,32719,3.03,1
797,1,2.76E+15,70000,118.93,14,24,6960,3.16,20
798,20,2.76E+15,50000,95.24,35,27,21281,3.07,5
799,5,2.76E+15,216820,150.1,171,24,20494,3.03,1.4
800,1.4,2.76E+15,21000,111.11,15,55,29417,3.17,1.3
801,1.3,2.77E+15,90000,116.4,14,14,25046,3.05,1
802,1,2.76E+15,1000000,114.54,22,7,13520,3.02,1.8
803,1.8,2.76E+15,233833,99.93,493,1,11577,3.02,1.3
804,1.3,2.76E+15,168000,116.26,12,33,26660,3.08,2
805,2,2.77E+15,50000,116.1,254,128,38068,3.08,1
806,1,2.77E+15,336565,114.71,11,29,17225,3.04,2
807,2,2.77E+15,50000,116.22,6,56,16658,3.01,1
808,1,2.77E+15,200000,115.87,1,14,11226,3.04,1.3
809,1.3,2.77E+15,100000,125.85,1,22,17786,3.03,1.3
810,1.3,2.77E+15,105156,114.12,2,12,18254,3.06,3
811,3,2.77E+15,21000,95.24,12,20,19314,3.06,3
812,3,2.77E+15,52332,95.54,18,2,16342,3.03,2
813,2,2.77E+15,21000,111.11,1,1,7038,3.02,30
814,30,2.77E+15,300000,112.71,17,4,12481,3.02,1.3
815,1.3,2.77E+15,50000,115.72,1171,46,20543,3.05,1
816,1,2.77E+15,50000,95.24,20,25,29658,3.05,2
817,2,2.77E+15,1600000,127.87,11,44,29094,3.06,1
818,1,2.77E+15,50000,95.24,36,6,28234,3.11,10
819,10,2.77E+15,42000,115.48,26,12,22176,3.04,1.4
820,1.4,2.76E+15,50000,95.24,45,53,34577,3.17,7.562
821,7.562,2.77E+15,52391,117.41,2,25,20568,3.07,3
822,3,2.77E+15,850000,115.64,4,31,21757,3.04,2
823,2,2.77E+15,202664,113.75,11,12,23340,3.03,2
824,2,2.76E+15,90000,95.06,25,74,28891,3.11,3.812
825,3.812,2.77E+15,25200,115.62,30,12,21851,3.04,2
826,2,2.77E+15,50000,95.24,41,10,19317,3.09,1.4
827,1.4,2.77E+15,1700000,112.01,5,31,18801,3.06,2
828,2,2.77E+15,21000,111.11,17,8,34129,3.12,10
829,10,2.77E+15,1148708,117.89,44,9,15153,3.03,1.5
830,1.5,2.77E+15,200000,109.97,18,59,32887,3.12,2
831,2,2.76E+15,50000,95.24,14,86,35747,3.15,4
832,4,2.76E+15,21000,115.5,88,31,30978,3.06,2
833,2,2.76E+15,60000,116.26,72,29,21275,3.05,2
834,2,2.76E+15,50000,115.86,26,27,28949,3.03,1
