3126,100.0
5544,41.0
5532,20.0
3437,40.0
8810,10.0
5271,1.0
2589,10.0
8767,10.0
303,10.0
8242,10.0
3668,10.0
5070,20.0
4934,10.0
3548,10.0
1436,1.0
7815,20.0
6263,20.0
376,1.0
1869,10.0
8732,1.0
3405,1.0
7868,1.0
1658,1.0
755,100.0
3945,1.0
6433,10.0
6246,10.0
290,10.0
5649,10.0
3254,10.0
3044,1.0
2118,1.0
4832,10.0
5474,1.0
501,1.0
4939,10.0
4914,1.0
5576,1.0
1539,1.0
8307,100.0
1211,21.0
7351,1.0
7985,10.0
672,10.0
6249,10.0
5963,10.0
5007,10.0
6452,1.0
5013,10.0
7427,1.0
1464,1.0
7199,140.0
7465,1.0
1192,21.0
7306,10.0
2264,10.0
421,1.0
505,1.0
7497,1.0
2623,0.1
1582,0.1
506,10.0
3006,0.1
2405,1.0
5261,1.0
2926,1.0
621,10.0
2126,1.0
3181,10.0
5215,40.0
3574,1.0
6322,10.0
3601,10.0
347,0.1
797,10.0
7380,0.1
3680,40.0
8268,35.0
7346,10.0
8575,10.0
312,2.0
4508,10.0
746,10.0
790,1.0
2476,10.0001
2024,120.0
7071,10.0
2570,1.0
5324,40.0
8540,20.0
6915,1.0
5267,1.0
4222,1.0
4071,1.0
259,1.0
2163,10.0
8066,10.0
380,0.1
6890,100.0
8207,10.0
1912,1.0
3121,1.0
599,10.0
45,10.0
1444,1.0
1652,1.0
2699,0.1
7699,10.0
1893,10.0
4084,1.0
2406,1.0
5221,10.0
8673,1.0
3127,40.0
1966,100.0
2818,20.0
5593,1.0
3717,1.0
6771,10.0
1600,10.0
5849,10.0
1392,1.0
4405,10.0
4918,1.0
3994,1.0
6759,10.0
426,1.0
4908,1.0
410,10.0
7960,120.0
7758,10.0
6324,10.0
8642,20.0
3966,10.0
4032,10.0
7250,10.0
5478,10.0
3445,10.0
210,10.0
2487,1.0
8373,1.0
3742,1.0
6200,1.0
4134,10.0
1049,1.0
7873,120.0
4176,1.0
7918,10.0
4101,1.0
8428,1.0
1972,1.0
7525,1.0
2099,19.920202
1499,10.0
1109,10.0
2835,10.0
4864,10.0
652,10.0
