,difficulty,gaslimit,gasused,gaspricel1,gaspricel2
8078,1883870000000000.0,8000029,7998733,1.0,100.0
2759,1973160000000000.0,7984452,618588,20.0,10.0
4866,1948090000000000.0,8003914,7998968,20.0,10.0
7909,1897810000000000.0,7984452,7983051,0.5,10.0
4899,1936690000000000.0,7984452,7976602,10.0,10.0
6679,1917030000000000.0,8003897,7994968,1.0,10.0
4927,1938570000000000.0,7984452,7960727,10.0,1.0
7308,1951660000000000.0,7996024,7993916,10.0,10.0
2805,1953940000000000.0,8000029,7985353,1.0,1.0
1260,1932860000000000.0,7996107,7922750,21.0,120.0
1666,1941190000000000.0,7992222,7983734,1.0,147.0
7949,1895940000000000.0,8003628,7990341,10.0,100.0
6872,1914110000000000.0,7992222,7976116,10.0,1.0
4855,1953810000000000.0,8000029,7992706,1.0,100.0
5071,1930000000000000.0,7996107,7986402,20.0,1.0
7975,1890380000000000.0,8000029,7985241,10.0,100.0
2167,1970550000000000.0,8000029,7999141,1.0,40.0
1445,1946980000000000.0,8000000,7983936,1.0,1.0
8692,1881730000000000.0,8000029,4012734,10.0,10.0
2533,1989730000000000.0,7992185,7072026,10.0,10.0
4409,1942640000000000.0,7992222,7972227,1.0,1.0
1695,1953540000000000.0,8000029,7929474,1.0,1.0
2892,1949130000000000.0,8000029,6288956,1.0,0.1
1095,1924440000000000.0,8003925,7989269,0.1,11.90625
7177,1946030000000000.0,8000000,7997711,10.0,10.0
6982,1922500000000000.0,7992185,7958743,1.0,100.0
3203,1920600000000000.0,8000029,7981916,10.0,1.0
4663,1962550000000000.0,8000029,7982700,0.1,1.0
1630,1938360000000000.0,8000029,1562598,10.0,1.0
7008,1933790000000000.0,8000029,7984323,10.0,10.0
1881,1938240000000000.0,8000000,1742437,20.0,100.0
5129,1929980000000000.0,8000029,7944314,1.0,1.0
6405,1915290000000000.0,8003880,7993000,104.0,1.0
1612,1935530000000000.0,7984452,466475,10.0,1.0
978,1951970000000000.0,8000029,7642433,20.0,1.0
1413,1946050000000000.0,8000029,2451624,10.0,1.0
6791,1890910000000000.0,7992222,7989015,1.0,104.0
5628,1925040000000000.0,7996483,7987959,10.0,1.0
848,1947270000000000.0,8000029,7872210,1.0,10.0
4701,1967330000000000.0,8000029,7952895,0.1,10.0
5257,1916770000000000.0,8000029,7993697,20.0,1.0
5587,1925060000000000.0,8000000,7998701,1.0,10.0
2877,1944390000000000.0,7996070,2705939,10.0,10.0
2271,1991790000000000.0,8000029,6509672,1.0,100.0
2392,1983000000000000.0,7976682,5263536,1.0,10.0
7521,1992990000000000.0,7985136,7964166,100.0,10.0
3779,1888680000000000.0,8002413,7988921,10.0,1.0
1830,1933540000000000.0,7988300,7978711,10.0,1.0
3861,1914660000000000.0,7992174,7991893,10.0,1.0
6398,1920910000000000.0,8003930,7995876,140.0,1.0
4334,1951230000000000.0,7999992,4558012,1.0,1.0
47,1899740000000000.0,7992248,7979294,1.0,10.0
5012,1943270000000000.0,7996107,7995734,10.0,20.0
8880,1904710000000000.0,7996107,4321287,10.0,20.0
1350,1946080000000000.0,8000029,7990046,1.0,1.0
8550,1864410000000000.0,8010135,8004327,1.0,10.0
1234,1925330000000000.0,7979568,7900677,1.0,1.0
5769,1913730000000000.0,8000029,7999938,1.0,1.0
4852,1955720000000000.0,7999992,7993495,10.0,13.000100999999999
446,1905100000000000.0,8003788,7989915,1.0,1.0
2248,1988880000000000.0,7989003,7975599,1.0,10.0
1743,1941150000000000.0,8003928,7990534,10.0,1.0
844,1943470000000000.0,8000000,7974532,1.0,1.0
5398,1925140000000000.0,7984415,6012412,1.0,1.0
8458,1869020000000000.0,8000029,7986798,10.0,10.0
5049,1939460000000000.0,7976682,7973270,10.0,10.0
3289,1894460000000000.0,7992111,7981331,10.0,10.0
7406,1975590000000000.0,8000029,7986367,100.0,1.0
39,1906250000000000.0,7992185,7934727,10.0,21.0
2440,1988800000000000.0,7973352,7963483,20.0,0.1
3103,1956660000000000.0,8003890,7947051,1.0,10.0
7073,1932810000000000.0,7992222,7978326,11.0,10.0
4972,1937600000000000.0,8003731,7988896,1.0,1.0
678,1919010000000000.0,7984304,7977030,0.0001,20.0
7344,1958320000000000.0,7972797,7887625,1.0,10.0
8195,1903240000000000.0,8000029,7975113,10.0,1.0
5363,1916710000000000.0,8000029,2947842,1.0,10.0
1294,1940410000000000.0,8000029,7920511,1.0,10.0
8260,1891160000000000.0,8003913,7997152,10.0,10.0
8406,1876360000000000.0,8000000,7999153,20.0,20.0
7609,1978400000000000.0,8000029,7863467,10.0,140.0
971,1949120000000000.0,7992248,7972314,1.0,10.74626867
3442,1896230000000000.0,7972834,7955566,10.0,10.0
6830,1896450000000000.0,7996144,7981154,1.0,10.0
5701,1914690000000000.0,7999992,7980204,10.0,1.0
1112,1914120000000000.0,8000029,7990105,1.0,1.0
3891,1920260000000000.0,8000000,7984093,20.0,10.0
776,1931190000000000.0,7992222,3221847,10.0,1.0
8627,1876260000000000.0,7997772,4213386,1.0,10.0
2231,1990840000000000.0,7992222,7765281,20.0,20.0
2228,1987920000000000.0,8000029,7754977,10.0,1.0
2153,1961910000000000.0,7984452,7980426,10.0,100.0
6492,1924630000000000.0,7999992,7833147,10.0,10.0
5452,1927000000000000.0,8000029,7993094,1.0,10.0
8766,1875260000000000.0,8000000,7995883,10.0,0.001
4204,1945600000000000.0,8000000,920432,10.0,10.0
8424,1880020000000000.0,8000029,4175679,10.0,1.0
4339,1953130000000000.0,8000029,7762137,1036.0,1.0
6000,1912690000000000.0,8000029,4349766,10.0,1.0
6797,1896460000000000.0,7992248,7986264,20.0,10.0
1366,1945120000000000.0,7973989,7957693,120.0,21.0
1469,1942220000000000.0,7999992,7998634,10.0,10.0
1851,1941100000000000.0,7999992,2602224,0.1,1.0
3183,1930970000000000.0,8007797,8005954,1.0,10.0
1963,1944840000000000.0,7988337,3325375,10.0,0.5
7382,1965980000000000.0,7984415,7967331,10.0,0.1
5717,1916560000000000.0,8000000,7987712,20.0,1.0
5719,1914680000000000.0,7992222,7960018,1.0,1.0
3199,1928130000000000.0,7999955,7848483,10.0,0.1
5509,1922280000000000.0,8003906,7992415,100.0,104.0
1289,1939460000000000.0,8000029,3472663,10.34375,20.0
485,1896710000000000.0,8000029,7979562,1.0,100.0
2239,1995700000000000.0,8000029,93470,10.0,1.0
4861,1950950000000000.0,8002249,7997779,1.0,1.0
3261,1901900000000000.0,8000000,7983458,100.0,10.0
8461,1868110000000000.0,8000029,7989725,10.0,10.0
5605,1923170000000000.0,8000029,3724919,1.0,10.0
5316,1917670000000000.0,7992222,7923217,10.0,100.0
7724,1941020000000000.0,7984452,6012625,1.0,10.0
8634,1875340000000000.0,8000000,7991703,1.0,10.0
30,1907180000000000.0,8000029,7530248,1.0,10.0
6438,1916210000000000.0,7992222,7989515,1.0,1.0
4794,1959580000000000.0,8003888,7989257,10.0,10.0
3542,1890630000000000.0,8000029,3624601,1.0,1.0
5550,1927900000000000.0,7999955,7988303,15.0,10.0
1879,1936350000000000.0,8003866,596970,1.0,1.0
6916,1920650000000000.0,7996107,7986207,1.0,1.0
8776,1872500000000000.0,7995811,7978255,10.0,1.0
1983,1941030000000000.0,7992185,7980153,20.0,10.0
4438,1942630000000000.0,8000029,7995662,1.0,0.1
7921,1896880000000000.0,8000029,7985267,10.0,120.0
7388,1968860000000000.0,7999955,7991483,10.0,10.0
5770,1912800000000000.0,8000029,7985891,10.0,1.0
6603,1932100000000000.0,7999992,7942252,10.0,1.0
6162,1936110000000000.0,8000029,2738165,1.0,10.0
7030,1931890000000000.0,8000000,7989057,1.0,10.0
1036,1932950000000000.0,7996144,7994980,21.0,147.0
636,1905950000000000.0,8003839,7991854,10.0,120.0
4480,1952130000000000.0,8007762,7995101,100.0,10.0
4251,1951280000000000.0,8000029,7999184,20.0,1.0
4326,1950280000000000.0,7996070,7949742,10.0,10.0
6069,1924830000000000.0,8000029,4894176,0.1,1.0
4184,1934240000000000.0,8000029,7992236,1.0,10.0
1083,1929150000000000.0,8000029,7985417,1.0,0.1
2615,1999440000000000.0,8000029,7990033,1.0,0.1
861,1944410000000000.0,7980550,7967281,1.0,10.0
6171,1933270000000000.0,7999992,7129594,1.0,100.0
903,1944390000000000.0,8000000,7966459,10.0,10.0
191,1902440000000000.0,7992222,7990430,20.0,1.0
109,1903430000000000.0,8000029,7998547,10.0,1.0
8699,1877140000000000.0,8003807,7996408,10.0,10.0
8404,1881870000000000.0,8000000,7989005,10.0,1.0
1942,1930650000000000.0,8000000,7976068,1.0,1.0
8194,1903240000000000.0,7999992,5370937,1.0,10.0
8735,1887230000000000.0,7992185,7904925,1.0,1.0
4031,1933380000000000.0,8000029,7979711,10.0,20.0
8252,1891160000000000.0,7976682,7957273,12.0,10.0
1831,1934490000000000.0,7996070,5321576,10.0,10.0
6794,1893680000000000.0,7968912,7952365,100.0,10.0
6232,1937020000000000.0,7992222,752991,10.0,1.0
7833,1920220000000000.0,7992222,7975275,10.0,10.0
5378,1925150000000000.0,7995939,7990875,10.0,1.0
6730,1907660000000000.0,8003929,7988307,1.0,10.0
782,1932130000000000.0,7992222,1940930,10.0,10.0
563,1902260000000000.0,7992296,7601329,1.0,1.0
8604,1872610000000000.0,7992222,5481680,10.0,10.0
5842,1909030000000000.0,7996144,4037665,10.0,10.0
2775,1974120000000000.0,7986672,2687027,12.0,1.0
3429,1901810000000000.0,8007807,7992165,100.0,100.0
7660,1952460000000000.0,7992222,7975871,0.1,10.0
3961,1929640000000000.0,8000029,7986270,10.0,1.0
7113,1930910000000000.0,7976682,7886750,10.0,10.0
1825,1939220000000000.0,7984378,7947970,10.0,1.0
2617,1999440000000000.0,8000029,7988811,1.0,1.0
6582,1918940000000000.0,8003918,7984585,20.0,1.0
1094,1928210000000000.0,8000029,7992271,11.90625,10.0
6700,1918890000000000.0,8000029,7982329,10.0,10.0
3169,1941390000000000.0,8000029,7910915,1.0,10.0
4845,1951910000000000.0,7996033,3989298,1.0,1.0
6566,1918950000000000.0,7999988,7999021,100.0,0.1
5804,1909050000000000.0,7992148,7990613,10.0,10.0
4386,1941700000000000.0,8000029,7953603,1.0,10.0
5371,1920460000000000.0,7992222,7871915,10.0,20.0
5020,1943270000000000.0,8003927,7998232,10.0,1.0
4056,1923000000000000.0,7988300,7973810,1.0,1.0
4469,1950220000000000.0,8000029,4656194,10.0,10.0
5471,1926060000000000.0,7993517,7977510,1.0,10.0
6896,1914100000000000.0,7996107,3890055,10.0,10.0
1654,1939290000000000.0,8000000,7984892,1.0,1.0
7796,1934360000000000.0,8003922,7983029,1.0,21.0
8536,1867160000000000.0,7999242,7979629,10.0,1.0
8483,1864440000000000.0,8000029,7979646,40.0,20.0
2323,1996640000000000.0,7999992,7955835,0.1,1.0
2413,1978160000000000.0,8000000,7996075,10.0001,1.0
3805,1891440000000000.0,8000029,7984142,1.0,1.0
7302,1949760000000000.0,8000029,4525911,1.0,10.0
2654,1999420000000000.0,8000029,7987163,11.0,100.0
5270,1919570000000000.0,8000029,7988843,1.0,1.0
7705,1942920000000000.0,7995254,7989840,13.82174413,1.0
4252,1951280000000000.0,7992222,7919295,1.0,20.0
2678,1994520000000000.0,7984452,7977431,1.0,1.0
4856,1952860000000000.0,7992222,7988345,1.0,1.0
8111,1888470000000000.0,8000029,7996636,1.0,10.0
6214,1934200000000000.0,8000029,7980981,100.0,10.0
6421,1915280000000000.0,8000029,7991570,20.0,10.0
5973,1914570000000000.0,7995996,7990782,1.0,10.0
4532,1964530000000000.0,8000029,7981768,1.0,20.0
178,1899660000000000.0,7992222,7981609,20.0,10.0
7210,1949810000000000.0,8003692,7986979,20.0,10.0
6109,1923880000000000.0,7992222,3302267,1.0,10.0
1534,1933670000000000.0,7976682,7974709,10.0,1.0
8601,1872610000000000.0,8000029,7982088,10.0,10.0
4393,1943600000000000.0,7999992,7768349,1.0,1.0
3286,1899090000000000.0,7999955,7980516,100.0,10.0
1204,1923460000000000.0,7988337,7970899,10.0,21.0
2202,1974390000000000.0,7992185,6380969,1.0,1.0
6211,1938930000000000.0,8002111,7996161,10.0,1.0
8852,1893600000000000.0,8007789,7990393,20.0,20.0
8223,1905090000000000.0,8003924,7997457,10.0,100.0
4306,1942690000000000.0,7976682,2057209,10.0,1.0
5263,1919580000000000.0,7992222,2751872,1.0,1.0
975,1950070000000000.0,8000029,7820003,1.0,10.0
4567,1965470000000000.0,7992222,7974457,1.0,1.0
1770,1943990000000000.0,7980567,5436806,10.0,1.0
829,1945370000000000.0,7996070,7911761,1.0,1.0
941,1948180000000000.0,8000029,7983229,21.0,1.0
4608,1970260000000000.0,7968838,7941880,10.0,10.0
2486,1988780000000000.0,7999955,5526226,10.0,10.0
627,1912480000000000.0,8000029,464279,10.0,10.0
2387,1985910000000000.0,7968912,3232183,20.0,10.0
5613,1921290000000000.0,7984452,6995234,1.0,1.0
5617,1920350000000000.0,7984489,7970238,1.0,1.0
925,1943430000000000.0,8019127,7991174,1.0,1.0
3033,1950970000000000.0,7976571,7962839,1.0,10.0
295,1909830000000000.0,8000000,7985499,1.0,100.0
1052,1932940000000000.0,7992222,7985263,100.0,10.0
7688,1944820000000000.0,8000000,5434115,120.0,0.1
2707,1993540000000000.0,7999992,7998391,1.0,1.0
3221,1917770000000000.0,7984489,7282846,1.0,10.0
3882,1921210000000000.0,8000000,3251172,10.0,10.0
8809,1886250000000000.0,8000029,7325077,1.0,10.0
8376,1879130000000000.0,8000029,7526077,10.0,10.0
5198,1920540000000000.0,8000029,7984950,130.0,20.0
7097,1926200000000000.0,7984452,7970161,20.0,100.0
3509,1896190000000000.0,7996107,7979099,1.0,1.0
4638,1964480000000000.0,8000029,397492,10.0,1.0
4019,1926790000000000.0,7999992,7990267,0.1,10.0
2789,1957770000000000.0,8000029,7987422,40.0,140.0
944,1951030000000000.0,7992222,7979203,12.0001,1.0
7875,1905260000000000.0,7992222,7983721,1.0,120.0
8267,1883770000000000.0,8000029,7998159,20.0,20.0
7230,1957430000000000.0,7999992,2244352,20.0,10.0
12,1901610000000000.0,8003570,7995484,1.0,1.0
1117,1910380000000000.0,7996033,7982510,100.0,10.0
8190,1902310000000000.0,8000000,7983459,20.0,10.0
3255,1904690000000000.0,8000000,7984114,10.0,10.0
4949,1937610000000000.0,7976645,7947485,10.0,20.0
2690,1993550000000000.0,8000029,7983813,1.0,1.0
2213,1981150000000000.0,8000029,7778514,1.0,10.0
8070,1886640000000000.0,7996101,7991452,1.0,1.0
4247,1951280000000000.0,8003908,1624897,1.0,1.0
5332,1906450000000000.0,8000029,7999375,10.0,20.0
1319,1947990000000000.0,8001472,7987775,1.0,1.0
779,1933080000000000.0,8000000,7980267,0.1,120.0
8775,1878920000000000.0,7999992,7810249,1.0,20.0
8474,1868090000000000.0,7996107,7976417,1.0,10.0
3130,1947110000000000.0,7976682,3094530,10.0,10.0
6848,1900150000000000.0,8000000,7988836,11.93582899,10.0
6142,1929510000000000.0,7984452,2134132,1.0,10.0
4672,1958710000000000.0,7992148,7956456,10.0,1.0
433,1905100000000000.0,8000029,7684440,1.0,10.0
3475,1898070000000000.0,8005161,7988751,1.0,1.0
3505,1896190000000000.0,8003923,8001684,1.0,10.0
653,1913400000000000.0,8000029,7927598,10.0,14.0
2477,1984900000000000.0,7984452,6657115,10.0001,10.0
92,1903440000000000.0,8000029,2319060,1.0,1.0
6998,1932850000000000.0,7999992,1308477,11.125,1.0
6202,1936100000000000.0,8003916,7996485,1.0,1.0
5190,1927130000000000.0,7992185,7777466,10.0,1.0
5990,1912690000000000.0,7992259,7984352,1.0,0.1
5501,1923220000000000.0,8000029,7984427,10.0,10.0
4043,1926770000000000.0,7999992,7994206,100.0,10.0
4189,1938020000000000.0,8000029,3304840,20.0,10.0
8758,1878020000000000.0,7992222,7975961,1.0,1.0
4586,1971230000000000.0,8000029,7999511,1.0,1.0
5908,1915550000000000.0,7999992,7935790,10.0,0.0
2886,1949130000000000.0,7976682,7877434,10.0,0.1
3135,1942350000000000.0,8000000,7998968,100.0,1.0
8219,1906020000000000.0,7994988,7993555,10.0,1.0
1874,1936350000000000.0,7986989,7960552,1.0,1.0
6950,1923450000000000.0,8003231,8002335,10.0,100.0
6451,1912470000000000.0,7980604,7966966,0.1,1.0
4139,1928610000000000.0,8011568,7996375,1.0,1.0
6711,1914200000000000.0,7972834,7965592,100.0,100.0
2904,1949130000000000.0,8000029,7993951,1.0,10.0
3582,1885060000000000.0,8000029,7875388,10.0,10.0
570,1902260000000000.0,7999950,7997214,1.0,1.0
1448,1947940000000000.0,8000029,7939498,0.1,1.0
6718,1903010000000000.0,8003936,7991709,1.0,10.0
4901,1935740000000000.0,7984452,7977261,10.0,20.0
4989,1944230000000000.0,7992222,7983731,1.0,1.0
7014,1926240000000000.0,7996084,7995451,10.0,100.0
5114,1928100000000000.0,8000029,7641529,10.0,10.0
2518,1993630000000000.0,7984489,7924013,10.0,10.0
7834,1921160000000000.0,7984452,7967418,100.0,10.0
1745,1942100000000000.0,8000029,7931687,1.0,147.0
2741,1987690000000000.0,7992222,6667608,1.0,20.0
1590,1940270000000000.0,7976719,2261992,0.1,1.0
3226,1912160000000000.0,8003886,7993299,20.0,1.0
8651,1881750000000000.0,8000029,5773191,10.0,100.0
2236,1991810000000000.0,7992222,1808111,10.0,1.0
3978,1925860000000000.0,7999992,7982816,100.0,1.0
287,1910770000000000.0,7999992,563112,10.0,10.0
1738,1945900000000000.0,7999992,6868093,1.0,1.0
5991,1912690000000000.0,7996151,7983744,140.0,1.0
1944,1931600000000000.0,8000029,5487288,20.0,1.0
3749,1878570000000000.0,7977126,3856906,1.0,16.0
3539,1890630000000000.0,8000029,7986332,1.0,100.0
5292,1908340000000000.0,8000029,7998199,10.0,0.1
8049,1874710000000000.0,8003934,7982974,10.0,1.0
5696,1920320000000000.0,8000029,5589792,10.0,20.0
1923,1927830000000000.0,7999992,6755936,100.0,10.0
5528,1925090000000000.0,7984452,5835751,12.0,10.0
2827,1948220000000000.0,7999955,7995819,10.0,10.0
1684,1945930000000000.0,7990174,7987210,10.0,10.0
7397,1972700000000000.0,8000029,3291614,1.0,10.0
6224,1932300000000000.0,8003886,7988508,1.0,1.0
1338,1944180000000000.0,8007804,7973868,1.0,10.0
3262,1902830000000000.0,8000029,7995490,1.0,100.0
5879,1916490000000000.0,7963991,6431499,1.0,1.0
650,1914340000000000.0,8000029,3948678,15.03125,10.0
2902,1948180000000000.0,8000029,7984770,1.0,1.0
2258,1995690000000000.0,7989003,7921220,0.001,1.0
6969,1921560000000000.0,7999992,7995287,10.0,1.0
7377,1966940000000000.0,8003914,7965955,1.0,1.0
7841,1921160000000000.0,8003914,7989898,1.0,10.0
4514,1959750000000000.0,8015610,8009570,10.0,100.0
7278,1953580000000000.0,8003915,8001746,1.0,100.0
6225,1933250000000000.0,8000029,7994375,10.0,1.0
2584,2004340000000000.0,8000029,2385145,10.0,1.0
3196,1925310000000000.0,7992222,7972816,1.0,1.0
7706,1942920000000000.0,8000029,6723703,10.0,13.82174413
8707,1880810000000000.0,8000943,7985042,10.0,1.0
1258,1930970000000000.0,8000029,7987745,120.0,1.0
4461,1950220000000000.0,8000029,7617654,10.0,325.1245328
991,1941490000000000.0,8000029,7980462,20.0,1.0
3504,1895260000000000.0,8000029,7991211,10.0,20.0
113,1898790000000000.0,8000029,7979065,10.0,21.0
8076,1882950000000000.0,7997626,7988121,120.0,1.0
2509,1996560000000000.0,7992259,3726765,1.0,1.0
8346,1881890000000000.0,8003903,7984813,10.0,1.0
8029,1882060000000000.0,8003871,7998989,100.0,10.0
4126,1927670000000000.0,7992185,7973446,1.0,10.0
949,1954850000000000.0,7992185,7527432,11.0,10.0
5939,1915530000000000.0,7984452,6961527,10.0,10.0
3770,1883150000000000.0,7981640,7954130,100.0,10.0
7100,1924320000000000.0,7972760,7966519,20.0,10.0
2850,1957750000000000.0,8000029,7992840,1.0,20.0
7713,1942920000000000.0,8003285,7988091,104.0,100.0
6918,1922520000000000.0,8000029,7994403,10.0,0.1
5819,1905320000000000.0,8007746,7988367,114.65349170000002,10.0
6070,1925770000000000.0,8000029,938094,10.0,0.1
2505,1997540000000000.0,7976682,3975495,20.0,0.1
1114,1915060000000000.0,8000029,4871745,10.0,11.29552179
6743,1897420000000000.0,8003871,7983718,1.0,100.0
298,1912630000000000.0,8007797,7996166,1.0,10.0
1675,1947830000000000.0,8000029,7994104,1.0,0.1
3347,1888880000000000.0,7999992,7956038,10.0,1.0
2735,1992550000000000.0,7992222,7984960,1.0,10.0
6124,1925750000000000.0,8000029,7997178,1.0,1.0
7772,1932480000000000.0,8000019,7981415,1.0,1.0
4734,1964410000000000.0,7968875,7954405,1.0,20.0
4229,1944630000000000.0,8000029,6140260,12.0,1.0
6146,1929510000000000.0,7968912,7961762,10.0,10.0
2103,1965780000000000.0,8003854,7969153,1.0,20.0
4553,1961640000000000.0,7992222,7974239,100.0,100.0
5306,1912070000000000.0,7999859,7998740,10.0,1.0
5826,1910910000000000.0,8000029,7750156,10.0,1.0
1837,1933540000000000.0,7984452,2364649,10.0,1.0
8793,1880740000000000.0,8000029,2332451,1.0,1.0
6621,1930210000000000.0,7992248,7982877,1.0,1.0
7788,1933420000000000.0,8007786,7987474,20.0,1.0
607,1906890000000000.0,8003813,7984514,10.0,21.0
1093,1928210000000000.0,8000029,904991,10.0,1.0
6315,1928490000000000.0,8000029,7989678,10.0,1.0
7775,1930590000000000.0,7992222,7989364,1.0,0.1
7720,1941020000000000.0,7984452,5562697,10.0,1.0
160,1904320000000000.0,8000029,4072142,10.0,1.0
203,1895940000000000.0,8000029,5960827,10.0,1.0
5522,1920390000000000.0,7992185,7986490,1.0,120.0
4619,1966410000000000.0,7976571,7199187,10.0,1.0
2934,1944350000000000.0,7992222,7972685,10.0,1.0
5735,1910000000000000.0,8007463,7987669,1.0,1.0
2435,1986860000000000.0,7950063,7431080,20.0,1.0
1230,1927210000000000.0,7999992,7323324,10.0,10.0
7242,1954560000000000.0,7992185,7979627,10.0,1.0
6532,1924600000000000.0,8000029,7986823,140.0,20.0
8570,1866230000000000.0,7984452,7968280,1.0,10.0
7625,1970680000000000.0,8000029,7954566,120.0,1.0
6004,1912690000000000.0,7988337,7982642,2.0,1.0
7801,1933410000000000.0,8000029,7994068,100.0,10.0
7710,1946720000000000.0,8003303,7996605,140.0,10.0
4034,1930550000000000.0,8000000,7895951,10.0,10.0
6339,1912510000000000.0,7999992,7999519,20.0,100.0
5867,1913690000000000.0,8000029,2266490,1.0,10.0
3877,1918400000000000.0,8007803,7988431,1.0,10.0
4264,1957000000000000.0,8000029,5168360,1.0,10.0
857,1946310000000000.0,8000000,7963087,1.0,1.0
5803,1909050000000000.0,7999955,7993663,10.0,10.0
8596,1871700000000000.0,8000000,7986833,10.0,10.0
2561,1995560000000000.0,8000029,7980428,1.0,10.0
3801,1891440000000000.0,7984415,7971674,0.1,1.0
2640,2005300000000000.0,7996107,4277530,1.0,1.0
4392,1942650000000000.0,7992222,7981968,1.0,20.0
2347,1997610000000000.0,7999955,7973237,1.0,1.0
6817,1902020000000000.0,7968912,6112974,1.0,20.0
2781,1967380000000000.0,7992185,7971025,10.0,10.0
6346,1917190000000000.0,8011698,8009865,20.0,100.0
8511,1862610000000000.0,7999992,6274710,10.0,1.0
7244,1955510000000000.0,8003887,7997134,100.0,10.0
615,1909680000000000.0,7997060,7989499,10.0,11.0
6824,1895520000000000.0,8003885,7947832,20.0,100.0
2575,2004340000000000.0,7984452,1433446,1.0,1.0
7287,1945960000000000.0,7984452,7968042,10.0,10.0
3340,1887960000000000.0,7992222,7988343,10.0,10.0
6395,1924670000000000.0,8003922,7983904,10.0,1.0
1705,1957360000000000.0,7996070,5389695,1.0,1.0
6772,1901110000000000.0,8003826,7990977,10.0,10.0
4292,1939850000000000.0,7992185,7989022,10.0,10.0
8124,1894010000000000.0,8000029,727685,10.0,10.0
8849,1895460000000000.0,8000029,4362383,1.0,10.0
4418,1940740000000000.0,7992222,7985363,10.0,10.0
803,1939690000000000.0,7978174,7956222,120.0,1.0
5441,1927950000000000.0,8003914,7999735,104.0,45.0
5572,1925060000000000.0,7999992,7979173,100.0,10.0
990,1940540000000000.0,8003924,7947532,1.0,147.0
6422,1914350000000000.0,8000029,7891196,10.0,20.0
5841,1908100000000000.0,7988374,7986719,10.0,140.0
5041,1948970000000000.0,7980123,7978926,11.0,1.0
3513,1894330000000000.0,8000029,7987976,1.0,100.0
8230,1900430000000000.0,7992222,7980850,100.0,10.0
6746,1894640000000000.0,8003892,7994050,10.0,10.0
219,1903350000000000.0,8000484,7983063,1.0,1.0
4348,1955040000000000.0,7984452,7965595,0.1,1.0
1288,1939460000000000.0,7999992,3275671,20.0,1.0
3163,1944240000000000.0,8000029,7942418,1.0,1.0
2618,1997490000000000.0,8000029,7993644,1.0,1.0
3612,1886900000000000.0,7999992,6063507,10.0,10.0
43,1904390000000000.0,8000029,7931151,10.0,20.0
5206,1919600000000000.0,7999992,7878004,10.0,1.0
3792,1888670000000000.0,7997143,7995021,1.0,10.0
3571,1893380000000000.0,7992222,4944909,10.0,1.0
6909,1916900000000000.0,8000029,7998774,1.0,1.0
1503,1937460000000000.0,8003920,7995527,21.0,1.0
7763,1928710000000000.0,8000029,7979231,1.0,1.0
8730,1884470000000000.0,7992222,7988527,10.0,1.0
3439,1899940000000000.0,7980604,7960281,120.0,40.0
1892,1938240000000000.0,7984452,7977462,147.0,10.0
8271,1885610000000000.0,8000029,7985986,10.0,10.0
7871,1908050000000000.0,8003906,7680685,10.0,10.0
6581,1918010000000000.0,8000029,7987372,1.0,104.0
1505,1937460000000000.0,7992222,7981873,13.92,1.0
670,1915270000000000.0,7984322,7977754,0.1,1.0
7620,1974530000000000.0,7984452,7975378,10.0,10.0
6163,1934220000000000.0,7996228,7987164,1.0,1.0
897,1940600000000000.0,7999992,7937313,10.0,100.0
6837,1898300000000000.0,8003912,8003275,10.0,11.90625
2666,2001360000000000.0,8000029,7990020,1.0,1.0
3193,1922490000000000.0,8000029,7979820,1.0,10.0
2890,1948180000000000.0,8000029,7994156,10.0,1.0
7964,1890380000000000.0,7992222,7966603,100.0,1.0
4913,1940470000000000.0,8003932,5451584,10.0,1.0
4671,1957750000000000.0,7999955,7987613,1.0,12.0
7271,1956450000000000.0,7984452,7970397,13.16577485,100.0
2370,1982040000000000.0,8003870,7994632,1.0,1.0
6194,1940830000000000.0,7992185,5177190,1.0,10.0
1769,1943990000000000.0,7988359,7970433,1.0,10.0
6934,1920640000000000.0,7984415,7923583,0.1,10.0
531,1902270000000000.0,7976645,7966730,10.0,10.0
7639,1975490000000000.0,8000029,7731665,1.0,10.0
7197,1947910000000000.0,7984452,5167276,10.0,10.0
5187,1928070000000000.0,8003911,7992262,1.0,20.0
7755,1926830000000000.0,8000029,7982132,20.0,100.0
7807,1923990000000000.0,8000029,7989716,10.0,100.0
731,1919920000000000.0,8000029,7996813,1.0,1.0
3406,1907400000000000.0,7992222,7975937,1.0,10.0
2339,2003470000000000.0,7990039,4040975,1.0,1.0
4680,1962540000000000.0,8003909,7991570,10.0,10.0
7707,1943870000000000.0,8002067,7989511,10.0,10.0
2565,1999460000000000.0,7992222,1662326,1.0,0.1
6051,1917330000000000.0,7986154,1227679,10.0,15.0
6125,1926690000000000.0,8003932,7999182,100.0,1.0
5272,1918630000000000.0,8003935,7997039,1.0,1.0
5489,1925110000000000.0,8000029,7997021,20.0,20.0
4302,1939850000000000.0,8000000,7997526,10.0,10.0
4687,1963490000000000.0,7984452,7974880,1.0,10.0
7735,1939120000000000.0,8000029,5574076,1.0,1.0
1255,1930030000000000.0,8000000,7965247,10.34375,10.0
2104,1965780000000000.0,8000029,3149005,1.0,1.0
5255,1919580000000000.0,7992148,7985160,20.0,20.0
